# world_size=16  backend=nccl  warmup=5 iters=15
#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.257         0.00         0.00
         16B            4      0.177         0.00         0.00
         32B            8      0.175         0.00         0.00
         64B           16      0.275         0.00         0.00
        128B           32      0.178         0.00         0.00
        256B           64      0.208         0.00         0.00
        512B          128      0.182         0.00         0.01
         1KB          256      0.196         0.01         0.01
         2KB          512      0.204         0.01         0.02
         4KB         1024      0.213         0.02         0.04
         8KB         2048      0.235         0.03         0.07
        16KB         4096      0.251         0.07         0.12
        32KB         8192      0.272         0.12         0.23
        64KB        16384      0.362         0.18         0.34
       128KB        32768      0.392         0.33         0.63
       256KB        65536      0.429         0.61         1.15
       512KB       131072      0.525         1.00         1.87
         1MB       262144      0.480         2.18         4.09
         2MB       524288      0.668         3.14         5.88
         4MB      1048576      1.111         3.78         7.08
         8MB      2097152      1.548         5.42        10.16
        16MB      4194304      2.213         7.58        14.21
        32MB      8388608      3.311        10.13        19.00
        64MB     16777216      6.021        11.15        20.90
       128MB     33554432     11.476        11.70        21.93
       256MB     67108864     19.504        13.76        25.81
       512MB    134217728     35.344        15.19        28.48
         1GB    268435456     70.382        15.26        28.60
# done
