# mode=ddp world=16 dim=4096 layers=8 batch=16 params/rank~1090.8M
#  step       loss    step_ms  img_per_s
      0     1.3445    1607.14      159.3
      1     1.3715     374.19      684.1
      2     1.3206     364.79      701.8
      3     1.2645     369.08      693.6
      4     1.1647     367.72      696.2
      5     1.0937     365.04      701.3
      6     1.0623     367.70      696.2
      7     1.0787     399.14      641.4
      8     1.0700     413.35      619.3
      9     1.0764     387.31      661.0
     10     1.0651     367.96      695.7
     11     1.0739     368.32      695.0
     12     1.0639     370.43      691.1
     13     1.0549     366.54      698.4
     14     1.0547     365.86      699.7
     15     1.0638     364.90      701.6
     16     1.0481     366.53      698.4
     17     1.0436     424.02      603.7
     18     1.0425     475.98      537.8
     19     1.0469     477.00      536.7
     20     1.0414     487.85      524.8
     21     1.0352     470.13      544.5
     22     1.0448     453.06      565.0
     23     1.0436     370.51      690.9
     24     1.0457     341.10      750.5
     25     1.0399     341.30      750.1
     26     1.0373     341.49      749.6
     27     1.0415     377.22      678.6
     28     1.0281     343.87      744.5
     29     1.0304     349.94      731.6
# steady-state: 390.26 ms/step  656.0 samples/s (global)
# done
