# mode=fsdp world=16 dim=4096 layers=8 batch=16 params/rank~68.2M
#  step       loss    step_ms  img_per_s
      0     1.3445    4244.17       60.3
      1     1.3715     592.15      432.3
      2     1.3206     529.04      483.9
      3     1.2645     513.45      498.6
      4     1.1647     548.31      466.9
      5     1.0937     522.09      490.3
      6     1.0623     537.92      475.9
      7     1.0787     506.41      505.5
      8     1.0700     501.04      510.9
      9     1.0764     553.56      462.5
     10     1.0651     514.08      498.0
     11     1.0739     525.78      486.9
     12     1.0639     505.40      506.5
     13     1.0549     521.43      491.0
     14     1.0547     540.99      473.2
     15     1.0638     509.10      502.9
     16     1.0481     519.88      492.4
     17     1.0436     547.96      467.2
     18     1.0425     548.42      466.8
     19     1.0469     512.78      499.2
     20     1.0414     532.03      481.2
     21     1.0352     522.92      489.6
     22     1.0448     572.79      446.9
     23     1.0436     523.10      489.4
     24     1.0457     532.23      481.0
     25     1.0399     584.83      437.7
     26     1.0373     584.04      438.3
     27     1.0415     587.79      435.5
     28     1.0281     567.24      451.3
     29     1.0304     565.20      452.9
# steady-state: 537.56 ms/step  476.2 samples/s (global)
# done
