#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.325         0.00         0.00
         16B            4      0.247         0.00         0.00
         32B            8      0.236         0.00         0.00
         64B           16      0.229         0.00         0.00
        128B           32      0.230         0.00         0.00
        256B           64      0.239         0.00         0.00
        512B          128      0.259         0.00         0.00
         1KB          256      0.272         0.00         0.01
         2KB          512      0.300         0.01         0.01
         4KB         1024      0.299         0.01         0.03
         8KB         2048      0.359         0.02         0.04
        16KB         4096      0.408         0.04         0.08
        32KB         8192      0.364         0.09         0.17
        64KB        16384      0.639         0.10         0.20
       128KB        32768      0.649         0.20         0.39
       256KB        65536      0.692         0.38         0.73
       512KB       131072      0.973         0.54         1.03
         1MB       262144      1.801         0.58         1.12
         2MB       524288      8.376         0.25         0.48
         4MB      1048576      7.499         0.56         1.07
         8MB      2097152      7.836         1.07         2.05
        16MB      4194304     12.812         1.31         2.51
        32MB      8388608     14.268         2.35         4.51
        64MB     16777216     23.091         2.91         5.57
       128MB     33554432     35.169         3.82         7.31
       256MB     67108864     43.016         6.24        11.96
       512MB    134217728     72.404         7.41        14.21
         1GB    268435456    137.663         7.80        14.95
# done
