#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.425         0.00         0.00
         16B            4      0.423         0.00         0.00
         32B            8      0.437         0.00         0.00
         64B           16      0.473         0.00         0.00
        128B           32      0.509         0.00         0.00
        256B           64      0.548         0.00         0.00
        512B          128      0.621         0.00         0.00
         1KB          256      0.684         0.00         0.00
         2KB          512      0.601         0.00         0.01
         4KB         1024      0.722         0.01         0.01
         8KB         2048      0.626         0.01         0.03
        16KB         4096      0.619         0.03         0.05
        32KB         8192      0.719         0.05         0.09
        64KB        16384      1.429         0.05         0.09
       128KB        32768      3.515         0.04         0.07
       256KB        65536      7.954         0.03         0.06
       512KB       131072      8.000         0.07         0.13
         1MB       262144      7.932         0.13         0.25
         2MB       524288      7.984         0.26         0.50
         4MB      1048576      7.937         0.53         1.01
         8MB      2097152      8.064         1.04         1.99
        16MB      4194304     11.536         1.45         2.79
        32MB      8388608     11.727         2.86         5.48
        64MB     16777216     17.380         3.86         7.40
       128MB     33554432     25.107         5.35        10.25
       256MB     67108864     38.914         6.90        13.22
       512MB    134217728     75.298         7.13        13.67
         1GB    268435456    144.533         7.43        14.24
# done
