#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.425         0.00         0.00
         16B            4      0.316         0.00         0.00
         32B            8      0.316         0.00         0.00
         64B           16      0.318         0.00         0.00
        128B           32      0.317         0.00         0.00
        256B           64      0.323         0.00         0.00
        512B          128      0.326         0.00         0.00
         1KB          256      0.321         0.00         0.01
         2KB          512      0.347         0.01         0.01
         4KB         1024      0.372         0.01         0.02
         8KB         2048      0.395         0.02         0.04
        16KB         4096      0.406         0.04         0.08
        32KB         8192      0.423         0.08         0.15
        64KB        16384      0.491         0.13         0.26
       128KB        32768      0.542         0.24         0.46
       256KB        65536      0.562         0.47         0.89
       512KB       131072      0.696         0.75         1.44
         1MB       262144      0.813         1.29         2.47
         2MB       524288      1.202         1.74         3.34
         4MB      1048576      1.771         2.37         4.54
         8MB      2097152      2.155         3.89         7.46
        16MB      4194304      2.992         5.61        10.75
        32MB      8388608      4.451         7.54        14.45
        64MB     16777216     10.098         6.65        12.74
       128MB     33554432     14.848         9.04        17.33
       256MB     67108864     28.121         9.55        18.30
       512MB    134217728     51.783        10.37        19.87
         1GB    268435456    114.453         9.38        17.98
# done
