# cmd: kubectl exec gpu-health-wb -- nvidia-smi dmon -s pucvmet -c 20
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    704     60     59    100     42      0      0      0      0   2619   1380      0      0   1357   1358      0      0      0      0     22      9 
    1    699     62     60    100     43      0      0      0      0   2619   1365      0      0   1357   1358      0      0      0      0     22      9 
    2    697     59     59    100     43      0      0      0      0   2619   1380      0      0   1357   1358      0      0      0      0     21     10 
    3    697     61     59    100     43      0      0      0      0   2619   1395      0      0   1357   1358      0      0      0      0     21      9 
    4    699     64     61    100     43      0      0      0      0   2619   1380      0      0   1357   1358      0      0      0      0     20      8 
    5    700     56     55    100     43      0      0      0      0   2619   1365      0      0   1357   1358      0      0      0      0     22     10 
    6    700     64     60    100     43      0      0      0      0   2619   1365      0      0   1357   1358      0      0      0      0     22      9 
    7     67     33     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    697     60     59    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     22      9 
    1    695     62     60    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21     10 
    2    698     60     59    100     43      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21     10 
    3    696     61     60    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     30      8 
    4    700     65     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      8 
    5    699     56     55    100     43      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     22     10 
    6    699     63     59    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    7     67     33     41      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    698     61     60    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     22      9 
    1    701     62     60    100     42      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     23      9 
