# GMP instant query: DCGM_FI_PROF_GR_ENGINE_ACTIVE
# status=success  series=56
  hv7m gpu 0  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  hv7m gpu 1  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  hv7m gpu 2  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  hv7m gpu 3  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  hv7m gpu 4  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  hv7m gpu 5  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  hv7m gpu 6  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  hv7m gpu 7  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  d7j7 gpu 0  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  d7j7 gpu 1  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  d7j7 gpu 2  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  d7j7 gpu 3  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  d7j7 gpu 4  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  d7j7 gpu 5  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  d7j7 gpu 6  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  d7j7 gpu 7  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 0  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 0  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 1  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 1  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 2  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 2  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 3  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 3  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 4  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 4  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 5  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 5  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 6  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 6  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 7  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lq6m gpu 7  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  q0qn gpu 0  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  q0qn gpu 1  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  q0qn gpu 2  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  q0qn gpu 3  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  q0qn gpu 4  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  q0qn gpu 5  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  q0qn gpu 6  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  q0qn gpu 7  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  5w60 gpu 0  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  5w60 gpu 1  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  5w60 gpu 2  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  5w60 gpu 3  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  5w60 gpu 4  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  5w60 gpu 5  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  5w60 gpu 6  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  5w60 gpu 7  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lj1n gpu 0  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lj1n gpu 1  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lj1n gpu 2  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lj1n gpu 3  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lj1n gpu 4  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0.000062
  lj1n gpu 5  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0.000062
  lj1n gpu 6  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
  lj1n gpu 7  DCGM_FI_PROF_GR_ENGINE_ACTIVE = 0
