# GMP instant query: DCGM_FI_DEV_POWER_USAGE
# status=success  series=56
  hv7m gpu 0  DCGM_FI_DEV_POWER_USAGE = 71.039
  hv7m gpu 1  DCGM_FI_DEV_POWER_USAGE = 71.965
  hv7m gpu 2  DCGM_FI_DEV_POWER_USAGE = 74.448
  hv7m gpu 3  DCGM_FI_DEV_POWER_USAGE = 67.955
  hv7m gpu 4  DCGM_FI_DEV_POWER_USAGE = 69.912
  hv7m gpu 5  DCGM_FI_DEV_POWER_USAGE = 69.258
  hv7m gpu 6  DCGM_FI_DEV_POWER_USAGE = 67.442
  hv7m gpu 7  DCGM_FI_DEV_POWER_USAGE = 70.209
  d7j7 gpu 0  DCGM_FI_DEV_POWER_USAGE = 68.357
  d7j7 gpu 1  DCGM_FI_DEV_POWER_USAGE = 68.98
  d7j7 gpu 2  DCGM_FI_DEV_POWER_USAGE = 72.86
  d7j7 gpu 3  DCGM_FI_DEV_POWER_USAGE = 72.843
  d7j7 gpu 4  DCGM_FI_DEV_POWER_USAGE = 70.512
  d7j7 gpu 5  DCGM_FI_DEV_POWER_USAGE = 70.858
  d7j7 gpu 6  DCGM_FI_DEV_POWER_USAGE = 69.362
  d7j7 gpu 7  DCGM_FI_DEV_POWER_USAGE = 70.717
  lq6m gpu 0  DCGM_FI_DEV_POWER_USAGE = 70.41
  lq6m gpu 0  DCGM_FI_DEV_POWER_USAGE = 70.734
  lq6m gpu 1  DCGM_FI_DEV_POWER_USAGE = 72.89
  lq6m gpu 1  DCGM_FI_DEV_POWER_USAGE = 73.132
  lq6m gpu 2  DCGM_FI_DEV_POWER_USAGE = 68.136
  lq6m gpu 2  DCGM_FI_DEV_POWER_USAGE = 68.443
  lq6m gpu 3  DCGM_FI_DEV_POWER_USAGE = 79.927
  lq6m gpu 3  DCGM_FI_DEV_POWER_USAGE = 81.331
  lq6m gpu 4  DCGM_FI_DEV_POWER_USAGE = 69.904
  lq6m gpu 4  DCGM_FI_DEV_POWER_USAGE = 70.25
  lq6m gpu 5  DCGM_FI_DEV_POWER_USAGE = 69.693
  lq6m gpu 5  DCGM_FI_DEV_POWER_USAGE = 69.957
  lq6m gpu 6  DCGM_FI_DEV_POWER_USAGE = 69.943
  lq6m gpu 6  DCGM_FI_DEV_POWER_USAGE = 69.884
  lq6m gpu 7  DCGM_FI_DEV_POWER_USAGE = 68.066
  lq6m gpu 7  DCGM_FI_DEV_POWER_USAGE = 68.135
  q0qn gpu 0  DCGM_FI_DEV_POWER_USAGE = 71.756
  q0qn gpu 1  DCGM_FI_DEV_POWER_USAGE = 70.829
  q0qn gpu 2  DCGM_FI_DEV_POWER_USAGE = 69.043
  q0qn gpu 3  DCGM_FI_DEV_POWER_USAGE = 68.768
  q0qn gpu 4  DCGM_FI_DEV_POWER_USAGE = 69.818
  q0qn gpu 5  DCGM_FI_DEV_POWER_USAGE = 69.591
  q0qn gpu 6  DCGM_FI_DEV_POWER_USAGE = 73.12
  q0qn gpu 7  DCGM_FI_DEV_POWER_USAGE = 67.43
  5w60 gpu 0  DCGM_FI_DEV_POWER_USAGE = 71.327
  5w60 gpu 1  DCGM_FI_DEV_POWER_USAGE = 69.87
  5w60 gpu 2  DCGM_FI_DEV_POWER_USAGE = 70.397
  5w60 gpu 3  DCGM_FI_DEV_POWER_USAGE = 70.422
  5w60 gpu 4  DCGM_FI_DEV_POWER_USAGE = 74.495
  5w60 gpu 5  DCGM_FI_DEV_POWER_USAGE = 70.593
  5w60 gpu 6  DCGM_FI_DEV_POWER_USAGE = 72.358
  5w60 gpu 7  DCGM_FI_DEV_POWER_USAGE = 68.998
  lj1n gpu 0  DCGM_FI_DEV_POWER_USAGE = 68.251
  lj1n gpu 1  DCGM_FI_DEV_POWER_USAGE = 70.197
  lj1n gpu 2  DCGM_FI_DEV_POWER_USAGE = 68.385
  lj1n gpu 3  DCGM_FI_DEV_POWER_USAGE = 72.795
  lj1n gpu 4  DCGM_FI_DEV_POWER_USAGE = 128.553
  lj1n gpu 5  DCGM_FI_DEV_POWER_USAGE = 118.285
  lj1n gpu 6  DCGM_FI_DEV_POWER_USAGE = 72.915
  lj1n gpu 7  DCGM_FI_DEV_POWER_USAGE = 70.493
