# GMP instant query: DCGM_FI_DEV_SM_CLOCK
# status=success  series=56
  hv7m gpu 0  DCGM_FI_DEV_SM_CLOCK = 345
  hv7m gpu 1  DCGM_FI_DEV_SM_CLOCK = 345
  hv7m gpu 2  DCGM_FI_DEV_SM_CLOCK = 345
  hv7m gpu 3  DCGM_FI_DEV_SM_CLOCK = 345
  hv7m gpu 4  DCGM_FI_DEV_SM_CLOCK = 345
  hv7m gpu 5  DCGM_FI_DEV_SM_CLOCK = 345
  hv7m gpu 6  DCGM_FI_DEV_SM_CLOCK = 345
  hv7m gpu 7  DCGM_FI_DEV_SM_CLOCK = 345
  d7j7 gpu 0  DCGM_FI_DEV_SM_CLOCK = 345
  d7j7 gpu 1  DCGM_FI_DEV_SM_CLOCK = 345
  d7j7 gpu 2  DCGM_FI_DEV_SM_CLOCK = 345
  d7j7 gpu 3  DCGM_FI_DEV_SM_CLOCK = 345
  d7j7 gpu 4  DCGM_FI_DEV_SM_CLOCK = 345
  d7j7 gpu 5  DCGM_FI_DEV_SM_CLOCK = 345
  d7j7 gpu 6  DCGM_FI_DEV_SM_CLOCK = 345
  d7j7 gpu 7  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 0  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 0  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 1  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 1  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 2  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 2  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 3  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 3  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 4  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 4  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 5  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 5  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 6  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 6  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 7  DCGM_FI_DEV_SM_CLOCK = 345
  lq6m gpu 7  DCGM_FI_DEV_SM_CLOCK = 345
  q0qn gpu 0  DCGM_FI_DEV_SM_CLOCK = 345
  q0qn gpu 1  DCGM_FI_DEV_SM_CLOCK = 345
  q0qn gpu 2  DCGM_FI_DEV_SM_CLOCK = 345
  q0qn gpu 3  DCGM_FI_DEV_SM_CLOCK = 345
  q0qn gpu 4  DCGM_FI_DEV_SM_CLOCK = 345
  q0qn gpu 5  DCGM_FI_DEV_SM_CLOCK = 345
  q0qn gpu 6  DCGM_FI_DEV_SM_CLOCK = 345
  q0qn gpu 7  DCGM_FI_DEV_SM_CLOCK = 345
  5w60 gpu 0  DCGM_FI_DEV_SM_CLOCK = 345
  5w60 gpu 1  DCGM_FI_DEV_SM_CLOCK = 345
  5w60 gpu 2  DCGM_FI_DEV_SM_CLOCK = 345
  5w60 gpu 3  DCGM_FI_DEV_SM_CLOCK = 345
  5w60 gpu 4  DCGM_FI_DEV_SM_CLOCK = 345
  5w60 gpu 5  DCGM_FI_DEV_SM_CLOCK = 345
  5w60 gpu 6  DCGM_FI_DEV_SM_CLOCK = 345
  5w60 gpu 7  DCGM_FI_DEV_SM_CLOCK = 345
  lj1n gpu 0  DCGM_FI_DEV_SM_CLOCK = 345
  lj1n gpu 1  DCGM_FI_DEV_SM_CLOCK = 345
  lj1n gpu 2  DCGM_FI_DEV_SM_CLOCK = 345
  lj1n gpu 3  DCGM_FI_DEV_SM_CLOCK = 345
  lj1n gpu 4  DCGM_FI_DEV_SM_CLOCK = 1980
  lj1n gpu 5  DCGM_FI_DEV_SM_CLOCK = 1980
  lj1n gpu 6  DCGM_FI_DEV_SM_CLOCK = 345
  lj1n gpu 7  DCGM_FI_DEV_SM_CLOCK = 345
