# cmd: bash -lc kubectl\ --context\ gke_hdlab-elideng_asia-east1-c_hypercomputer-a3-asiaeast1\ logs\ -f\ train-pipeline-worker-0-0-lzm89\ 2\>\&1\ \|\ grep\ -E\ \'pipeline\|mounted\|node_rank\'\ 
{"timestamp":{"seconds":1785123288,"nanos":489915698},"severity":"INFO","message":"File system has been successfully mounted.","mount-id":"hdlab-elideng-lab-data-asiaeast1-e2c81cf6"}
host=gke-hypercomputer-a3-a3-high-flex-poo-27562461-lq6m mounted gs://hdlab-elideng-lab-data-asiaeast1 at /data ; train shards: 8
host=gke-hypercomputer-a3-a3-high-flex-poo-27562461-lq6m node_rank=0 master=train-pipeline-worker-0-0.train-pipeline world=16
[pipeline] world=16 shards=8 D=256 rows/rank=100000 read=1.3s steps=4000 batch=8192
[pipeline] step    1/4000  loss=262.9534  0.36M samples/s  (0.1M seen)
[pipeline] step   50/4000  loss=0.5980  2.89M samples/s  (6.6M seen)
[pipeline] step  100/4000  loss=0.2112  3.05M samples/s  (13.1M seen)
[pipeline] step  150/4000  loss=0.1693  3.09M samples/s  (19.7M seen)
[pipeline] step  200/4000  loss=0.0889  3.13M samples/s  (26.2M seen)
[pipeline] step  250/4000  loss=0.0590  3.20M samples/s  (32.8M seen)
[pipeline] step  300/4000  loss=0.1110  3.20M samples/s  (39.3M seen)
[pipeline] step  350/4000  loss=0.0454  3.21M samples/s  (45.9M seen)
[pipeline] step  400/4000  loss=0.0353  3.22M samples/s  (52.4M seen)
[pipeline] step  450/4000  loss=0.0375  3.26M samples/s  (59.0M seen)
[pipeline] step  500/4000  loss=0.0490  3.26M samples/s  (65.5M seen)
[pipeline] step  550/4000  loss=0.0307  3.28M samples/s  (72.1M seen)
[pipeline] step  600/4000  loss=0.0302  3.30M samples/s  (78.6M seen)
[pipeline] step  650/4000  loss=0.3163  3.32M samples/s  (85.2M seen)
[pipeline] step  700/4000  loss=0.0300  3.32M samples/s  (91.8M seen)
[pipeline] step  750/4000  loss=0.0276  3.34M samples/s  (98.3M seen)
[pipeline] step  800/4000  loss=0.0266  3.35M samples/s  (104.9M seen)
[pipeline] step  850/4000  loss=0.0263  3.36M samples/s  (111.4M seen)
[pipeline] step  900/4000  loss=0.0273  3.36M samples/s  (118.0M seen)
[pipeline] step  950/4000  loss=0.0281  3.34M samples/s  (124.5M seen)
[pipeline] step 1000/4000  loss=0.0457  3.33M samples/s  (131.1M seen)
[pipeline] CKPT step 1000 -> /data/checkpoints/pipeline/step_1000.pt  (3.37s, GCSFuse write)
[pipeline] step 1050/4000  loss=0.0239  3.08M samples/s  (137.6M seen)
[pipeline] step 1100/4000  loss=0.0235  3.09M samples/s  (144.2M seen)
[pipeline] step 1150/4000  loss=0.2137  3.11M samples/s  (150.7M seen)
[pipeline] step 1200/4000  loss=0.0256  3.11M samples/s  (157.3M seen)
[pipeline] step 1250/4000  loss=0.1471  3.12M samples/s  (163.8M seen)
[pipeline] step 1300/4000  loss=0.0215  3.13M samples/s  (170.4M seen)
[pipeline] step 1350/4000  loss=0.0209  3.14M samples/s  (176.9M seen)
[pipeline] step 1400/4000  loss=0.0211  3.15M samples/s  (183.5M seen)
[pipeline] step 1450/4000  loss=0.0254  3.17M samples/s  (190.1M seen)
[pipeline] step 1500/4000  loss=0.0201  3.17M samples/s  (196.6M seen)
[pipeline] step 1550/4000  loss=0.0194  3.16M samples/s  (203.2M seen)
[pipeline] step 1600/4000  loss=0.0186  3.17M samples/s  (209.7M seen)
[pipeline] step 1650/4000  loss=0.0514  3.17M samples/s  (216.3M seen)
[pipeline] step 1700/4000  loss=0.0178  3.18M samples/s  (222.8M seen)
[pipeline] step 1750/4000  loss=0.0174  3.19M samples/s  (229.4M seen)
[pipeline] step 1800/4000  loss=0.0171  3.20M samples/s  (235.9M seen)
[pipeline] step 1850/4000  loss=0.0169  3.20M samples/s  (242.5M seen)
[pipeline] step 1900/4000  loss=0.0167  3.21M samples/s  (249.0M seen)
[pipeline] step 1950/4000  loss=0.0977  3.22M samples/s  (255.6M seen)
[pipeline] step 2000/4000  loss=0.0159  3.23M samples/s  (262.1M seen)
[pipeline] CKPT step 2000 -> /data/checkpoints/pipeline/step_2000.pt  (3.02s, GCSFuse write)
[pipeline] step 2050/4000  loss=0.0155  3.13M samples/s  (268.7M seen)
[pipeline] step 2100/4000  loss=0.1188  3.14M samples/s  (275.3M seen)
[pipeline] step 2150/4000  loss=0.0156  3.14M samples/s  (281.8M seen)
[pipeline] step 2200/4000  loss=0.0146  3.14M samples/s  (288.4M seen)
[pipeline] step 2250/4000  loss=0.0142  3.13M samples/s  (294.9M seen)
[pipeline] step 2300/4000  loss=0.0178  3.14M samples/s  (301.5M seen)
[pipeline] step 2350/4000  loss=0.0146  3.16M samples/s  (308.0M seen)
[pipeline] step 2400/4000  loss=0.0135  3.17M samples/s  (314.6M seen)
