# world_size=16  backend=nccl  warmup=5 iters=15
#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.123         0.00         0.00
         16B            4      0.074         0.00         0.00
         32B            8      0.074         0.00         0.00
         64B           16      0.073         0.00         0.00
        128B           32      0.072         0.00         0.00
        256B           64      0.069         0.00         0.01
        512B          128      0.069         0.01         0.01
         1KB          256      0.068         0.01         0.03
         2KB          512      0.070         0.03         0.06
         4KB         1024      0.127         0.03         0.06
         8KB         2048      0.077         0.11         0.20
        16KB         4096      0.109         0.15         0.28
        32KB         8192      0.081         0.41         0.76
        64KB        16384      0.127         0.52         0.97
       128KB        32768      0.123         1.06         1.99
       256KB        65536      0.170         1.54         2.89
       512KB       131072      0.093         5.62        10.53
         1MB       262144      0.101        10.35        19.40
         2MB       524288      0.122        17.16        32.17
         4MB      1048576      0.139        30.15        56.54
         8MB      2097152      0.197        42.68        80.02
        16MB      4194304      0.331        50.74        95.15
        32MB      8388608      0.445        75.47       141.50
        64MB     16777216      0.662       101.34       190.01
       128MB     33554432      1.111       120.83       226.55
       256MB     67108864      1.948       137.82       258.42
       512MB    134217728      3.531       152.05       285.09
         1GB    268435456      6.499       165.22       309.79
         2GB    536870912     12.705       169.03       316.93
# done
