# world_size=24  backend=nccl  warmup=5 iters=15
#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.143         0.00         0.00
         16B            4      0.137         0.00         0.00
         32B            8      0.137         0.00         0.00
         64B           16      0.136         0.00         0.00
        128B           32      0.137         0.00         0.00
        256B           64      0.137         0.00         0.00
        512B          128      0.136         0.00         0.01
         1KB          256      0.135         0.01         0.01
         2KB          512      0.142         0.01         0.03
         4KB         1024      0.165         0.02         0.05
         8KB         2048      0.153         0.05         0.10
        16KB         4096      0.155         0.11         0.20
        32KB         8192      0.159         0.21         0.40
        64KB        16384      0.160         0.41         0.79
       128KB        32768      0.159         0.83         1.58
       256KB        65536      0.198         1.32         2.54
       512KB       131072      0.170         3.08         5.91
         1MB       262144      0.201         5.21         9.98
         2MB       524288      0.211         9.92        19.02
         4MB      1048576      0.227        18.47        35.40
         8MB      2097152      0.280        29.93        57.36
        16MB      4194304      0.392        42.83        82.09
        32MB      8388608      0.606        55.34       106.07
        64MB     16777216      0.915        73.34       140.56
       128MB     33554432      1.530        87.71       168.11
       256MB     67108864      3.103        86.52       165.83
       512MB    134217728      6.441        83.35       159.76
         1GB    268435456     11.393        94.24       180.63
         2GB    536870912     20.673       103.88       199.10
# done
