# world_size=16  backend=nccl  warmup=5 iters=15
#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.101         0.00         0.00
         16B            4      0.085         0.00         0.00
         32B            8      0.092         0.00         0.00
         64B           16      0.084         0.00         0.00
        128B           32      0.084         0.00         0.00
        256B           64      0.084         0.00         0.01
        512B          128      0.085         0.01         0.01
         1KB          256      0.085         0.01         0.02
         2KB          512      0.085         0.02         0.04
         4KB         1024      0.130         0.03         0.06
         8KB         2048      0.087         0.09         0.18
        16KB         4096      0.093         0.18         0.33
        32KB         8192      0.097         0.34         0.63
        64KB        16384      0.092         0.71         1.34
       128KB        32768      0.093         1.40         2.63
       256KB        65536      0.093         2.80         5.26
       512KB       131072      0.175         3.00         5.63
         1MB       262144      0.102        10.27        19.25
         2MB       524288      0.124        16.94        31.75
         4MB      1048576      0.140        30.06        56.36
         8MB      2097152      0.176        47.60        89.26
        16MB      4194304      0.261        64.32       120.60
        32MB      8388608      0.441        76.07       142.64
        64MB     16777216      0.660       101.67       190.63
       128MB     33554432      1.121       119.74       224.50
       256MB     67108864      1.961       136.92       256.73
       512MB    134217728      3.550       151.25       283.59
         1GB    268435456      6.558       163.73       306.98
         2GB    536870912     12.652       169.73       318.25
# done
